"filename", "language", "JSON", "JavaScript", "Vue", "pip requirements", "Python", "Markdown", "HTML", "XML", "CSS", "comment", "blank", "total"
"e:\StudyingFile\Computer\Database\Vue\.idea\Vue.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"e:\StudyingFile\Computer\Database\Vue\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Chose\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Chose\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Chose\apps.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Chose\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 7, 24
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Chose\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Chose\models.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 4, 10
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Chose\tests.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Chose\urls.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Chose\views.py", "Python", 0, 0, 0, 0, 90, 0, 0, 0, 0, 13, 14, 117
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Comment\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Comment\admin.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6, 12
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Comment\apps.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Comment\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 7, 24
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Comment\migrations\0002_initial.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 7, 29
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Comment\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
